05-09_22:38:39,Pat_sep upper value decreased
05-13_14:27:17,List length
05-13_19:19:37,BPS
05-13_21:32:48,List length
05-13_21:59:31,List length: very long
05-14_00:08:08,30-100trials
05-14_15:01:34,40-100trials
05-14_15:30:58,strong items not used in test
05-14_18:26:53,cue-target100
05-14_20:42:49,cue_target200
05-14_21:32:48,cue_target200+ more noise levels
05-16_11:37:59,"Cary et al 2008, with noise"
05-17_11:24:31,30-500 trials
05-17_21:12:52,30-500trials-noise5
05-17_23:35:18,30-500-thr6
05-18_18:31:20,absolute
05-18_19:07:56,absolute
05-18_23:28:44,"50-100trials, 1 added"
05-18_23:55:59,30-50-1added
05-19_00:40:54,30-200trials-1added
05-18_14:18:59,the unfortunate one
05-19_06:20:24,kinda works with absolulte threshold
05-21_00:00:33,seems to work again
05-21_20:34:30,show for meeting
05-22_16:37:40,working example
05-22_17:37:25,30-100trials-fam-impaired
05-22_21:44:15,weak
05-22_21:46:25,strong
05-22_23:15:06,list strength simulations
06-04_21:06:44,combined100
06-05_18:09:46,closest confidence
06-05_19:13:51,"combined, usual test"
06-05_20:25:23,seems to work with better fit
06-11_15:51:43,"200 trials, good fit, combined"
06-12_10:49:18,"200, combined-less fa but difference bigger"
06-12_10:49:18,"200, combined-less fa "
06-12_13:40:10,"200, higher noise"
06-13_14:33:46,"200, from low to high noise"
06-19_14:35:06,bps100
06-21_13:21:23,closest threshold
06-23_00:46:13,different shapes
06-23_16:56:45,works with Symm
06-24_12:11:43,0.013
06-24_12:23:30,0.0135
06-24_20:01:10,"works with Rn:0 too, distance histogramed, 0.015 added"
06-24_21:39:38,"combined included, 0.015 added"
06-24_23:25:44,0.004 sigma to distance before decision
06-24_23:30:14,0.008 sigma to distance before decision
06-24_23:39:42,"0.015 100 trials, seems worse"
06-26_11:57:27,"histogram, from first on, nothing added"
06-26_12:20:24,vanilla case
06-26_14:03:12,"closest,np.histogram(distances,bins=N_thr+1)[1]+0.015"
06-26_14:31:49,"closest,thr_range=np.linspace(0.008,maximum,N_thr)+0.015"
06-26_15:11:44,"thr_range=np.linspace(0.008,maximum,N_thr)+0.015",doesn't work 
06-26_15:17:16,vanilla:100
06-26_15:28:39,"np.histogram(distances,bins=N_thr+1)[1][1:]+0.015"
06-26_15:46:47,"thr_range=np.histogram(distances,bins=N_thr)[1]+0.015"
06-26_16:02:21,"np.histogram(distances,bins=N_thr+1)[1]+0.015"
06-26_17:39:29,"thr_range=np.histogram(distances,bins=N_thr+1)[1][1:],thr_range=thr_range+(width*0.7)"
06-26_19:55:03,"thr_range=np.linspace(0.008,maximum,N_thr),dist<=thr_range[thr]+np.random.normal(width,0.001)"
06-27_19:35:12,"list length, 100 trials, Cary et al"
06-27_22:02:25,first systematic threshold noise
06-27_22:36:21,"decision noise,100 trials"
06-27_23:49:05,"50 trials, width*np.range(0,noise)"
06-28_13:41:15,"np.random.normal(width*params.decision_noise,0.001)"
07-01_13:57:39,"multiply trials of the same noise levels,width*params.decision_noise,0.001"
07-01_19:55:43,50+olap1
07-01_20:50:24,"20, olap=2,thr_range=np.histogram(distances,bins=6)[1][1:]"
07-02_11:40:10,"30,2,np.histogram(distances,bins=7)[1][1:]"
07-02_11:46:11, '30, 9, np.histogram(distances,bins=7)[1][1:]'
07-02_16:12:53,"30,np.histogram(distances,bins=7)[1][1:-1],2"
07-02_16:19:51,"30,np.histogram(distances,bins=7)[1][1:-1],9"
07-02_16:45:39,"30,2,100 trials"
07-03_14:18:49,"list strength,100, something weird is going on"
07-03_15:43:06,"list strength, 50"
07-04_11:44:49,"np.random.normal(0.005,0.0001), 5x100trials"
07-04_14:18:33,"0.005 added, 5x100"
07-04_15:39:53,1
07-04_15:44:04,3
07-04_15:48:34,3
07-04_16:28:32,100-1
07-04_16:34:56,100-2
07-04_16:45:12,100-3
07-04_23:44:33,"list strength,100, thr_range=np.linspace(0.008,maximum,N_thr)"
07-05_23:50:24,list length to test dpsd
07-09_01:45:41,length match 200
07-09_03:54:48,list strength 200
07-09_00:33:11,list length 200
07-09_04:46:35, decision 200
07-10_14:06:36,"100 trials, the default: R and F dissociation not good"
07-11_11:46:51,"vanilla case, 50 trials, better dissociation"
07-11_16:40:56,vanilla with 0.008 decision noise added in distance
07-15_13:26:31,"vanilla,200"
07-15_15:19:20,"offset to threshold:0.011, works for some but not systematic"
07-15_17:35:29,"200 trials, decisions"
07-16_11:12:28,noise to items before decision, trial changed to retrieval aferwards
07-16_11:38:43,noise in trial based on width
07-16_18:55:05,"cortex alone, 200 trials, noise reduced"
07-17_11:37:30,"100 trials, offset"
07-18_16:30:52,"100,decision noise"
07-19_16:13:09,decision noise=0.011
07-19_18:03:18,"histogram from zero+add 0.011, N_thr=12"
07-22_13:50:33,200 trials with linspace 0
07-20_01:01:52,histogram+multiple noise levels
07-22_15:09:19,"hist,offset, 200, works for one"
07-24_14:27:51,200 with WM noise
07-24_14:28:46,"200 with WM noise, liberal offset changed"
